basename,songLengthMs,bSP,BSP,DSP,ESP,CSP,bDP,BDP,DDP,EDP,CDP
ajam,96771,13 10 0 0 0,32 31 7 0 3,39 41 41 0 8,49 41 47 0 14,,,32 31 7 0 3,41 41 27 0 8,61 56 27 0 30,
akao,124044,11 14 0 6 0,27 37 14 81 1,57 52 14 44 19,76 74 40 39 53,,,26 37 7 85 1,51 59 14 46 12,71 66 21 42 37,
akat,120000,8 7 0 61 0,11 15 0 50 0,35 30 1 112 14,59 56 0 120 98,69 56 30 125 105,,11 15 0 50 0,34 30 1 112 13,58 56 0 120 98,69 56 10 127 105
akhu,107548,30 45 3 6 0,48 61 41 9 0,73 91 41 9 67,103 91 52 9 106,,,47 61 40 14 0,72 61 20 9 60,105 91 32 9 107,
akib,121500,22 20 5 28 0,43 40 21 35 1,71 53 12 37 34,98 80 7 29 100,,,42 40 20 35 0,69 53 12 31 33,97 80 7 29 100,
akue,98047,8 12 0 0 0,15 23 0 70 0,31 35 0 92 2,47 53 20 113 17,,,15 23 0 70 0,31 35 0 92 2,47 47 12 114 17,
alal,123157,22 19 0 18 0,33 25 1 20 0,57 44 1 39 17,78 76 32 36 44,,,33 25 0 9 0,57 44 1 37 17,77 76 20 32 43,
alba,101250,11 10 9 0 0,22 21 12 27 0,40 37 14 14 8,61 48 20 21 51,,,22 21 12 26 0,40 32 12 14 8,58 48 9 26 44,
albi,112865,21 30 3 18 0,47 61 27 22 8,75 69 36 25 42,102 111 40 27 102,,,46 61 12 23 8,69 61 23 30 36,104 104 14 25 102,
algo,110767,28 27 7 11 0,36 43 54 20 3,57 54 29 9 23,76 86 41 33 101,86 86 29 59 106,,35 43 49 20 3,57 54 29 9 23,73 75 32 32 100,88 86 23 50 108
alie,99318,17 20 1 9 0,29 34 5 15 0,38 34 10 10 0,66 54 29 23 17,,,,,,
alit,91298,17 14 1 0 0,14 14 5 21 0,26 24 9 37 0,35 33 10 53 6,,,21 24 9 29 0,31 28 10 35 0,43 43 20 35 15,
aliv,87301,,14 16 0 0 0,32 33 0 0 3,49 39 0 0 14,,,,,,
alla,73718,,31 29 9 0 0,46 46 45 0 11,58 52 54 0 26,,,24 29 7 0 0,54 46 41 0 23,65 52 32 0 34,
allg,98000,13 20 9 0 0,23 20 16 0 0,37 35 7 32 6,48 45 43 29 22,,,,,,
allm,95701,15 19 7 0 0,32 32 10 31 0,43 52 36 59 9,59 59 47 55 25,,,26 32 9 45 0,44 46 32 13 12,61 59 54 21 24,
allt,94080,15 11 0 0 0,19 15 0 15 0,29 23 12 23 4,37 31 12 29 11,,,18 19 5 7 0,28 27 5 0 3,35 27 5 31 9,
almh,99000,22 20 0 4 0,34 26 1 6 0,56 53 21 8 13,78 66 12 17 58,,,38 26 0 4 0,54 53 16 16 14,78 66 16 13 64,
almy,105811,11 10 0 7 0,21 26 1 23 0,29 36 7 48 0,47 41 27 45 12,,,20 26 1 36 0,29 36 9 36 0,47 41 27 31 12,
alon,104788,15 17 7 27 0,32 23 7 10 0,50 47 9 10 12,69 59 45 9 38,,,32 23 7 24 0,50 47 9 10 13,67 59 30 17 32,
alov,77474,19 21 12 0 0,28 37 34 0 0,51 37 18 0 15,53 42 47 0 40,,,26 26 20 0 0,44 42 47 0 5,59 47 0 0 30,
alpa,108344,22 29 12 9 0,44 58 25 16 5,65 72 49 12 44,108 108 34 26 106,128 108 69 27 110,,45 51 16 16 5,66 65 50 6 37,105 101 20 18 107,132 108 60 27 112
alsi,101218,11 19 3 14 1,21 28 10 36 5,38 33 7 55 17,51 43 18 45 33,,,21 28 10 40 5,38 33 7 55 17,51 43 0 45 31,
alst,115138,20 24 3 36 0,35 30 7 58 0,48 49 29 51 8,64 61 10 36 30,78 74 38 21 73,,35 30 9 25 0,48 49 32 30 8,62 49 9 5 36,72 55 41 4 31
alth,99000,17 20 1 0 0,36 33 9 12 0,47 53 16 31 11,62 60 38 73 22,,,36 33 9 21 0,47 40 29 34 9,67 53 5 50 23,
alwa,95710,8 8 1 61 0,16 17 7 76 0,22 30 18 114 4,41 43 27 92 22,,,,,,
amal,101569,28 27 7 17 0,49 40 36 44 8,64 54 14 20 24,85 81 23 16 76,96 100 43 20 102,,48 47 20 21 6,63 54 9 20 23,85 81 14 16 75,91 81 14 20 100
aman,105939,20 25 0 0 0,36 42 3 12 0,56 50 25 6 8,80 75 41 4 26,,,37 33 0 16 0,55 50 34 4 6,79 67 27 4 25,
ambo,114857,9 14 3 27 0,27 36 16 34 0,54 58 23 69 15,84 101 14 44 100,,,25 36 12 50 0,50 58 18 64 12,84 94 12 43 89,
amch,75629,43 38 34 0 6,,,,81 86 47 24 102,,,,,72 70 38 12 82
amcs,90465,22 32 20 0 0,28 27 14 0 0,47 43 16 0 17,53 43 32 0 27,,,27 27 5 0 0,45 43 5 0 15,51 48 16 0 21,
amin,91403,,14 21 12 45 0,39 37 27 26 7,56 53 34 39 22,,,20 21 9 23 0,50 42 14 11 14,60 48 47 15 32,
anan,116055,14 25 9 44 0,45 45 21 35 29,64 77 29 30 155,95 101 23 22 225,,,45 45 21 21 29,59 77 40 21 154,83 101 12 16 231,
anat,90473,20 31 9 0 0,30 31 5 15 0,53 47 32 19 2,74 63 50 50 23,,,,,,
andt,97398,16 16 0 8 0,27 37 7 29 0,44 43 18 25 5,52 43 27 20 14,,,27 37 7 29 0,44 43 18 25 5,51 43 29 6 13,
andy,94667,29 30 10 0 0,26 37 27 12 0,48 45 47 47 0,66 60 30 36 17,,,26 37 5 24 0,44 45 20 40 2,60 52 20 14 15,
ange,100653,15 10 1 7 0,23 32 18 31 0,34 32 18 50 7,67 65 23 18 72,,,23 32 20 22 0,34 32 25 60 5,69 65 29 6 73,
angl,105602,13 14 0 39 0,20 36 3 64 0,44 58 16 72 10,64 72 20 87 37,,,27 29 1 51 0,52 51 5 40 10,64 65 9 35 28,
anis,134918,23 38 14 41 0,38 46 21 27 1,64 69 32 48 25,103 111 32 27 106,134 111 36 32 109,,38 46 21 27 1,65 69 30 37 26,98 111 29 27 102,138 111 34 28 110
anje,116400,21 30 9 15 0,37 30 1 22 0,69 61 23 13 23,91 91 23 8 59,,,40 30 1 18 0,59 61 9 14 13,89 84 18 10 56,
anly,80955,12 15 14 0 0,22 23 20 63 3,34 31 20 91 16,57 58 41 4 79,45 50 50 50 63,,21 23 20 63 1,34 31 20 86 16,45 50 50 50 63,
anni,121334,23 30 1 25 0,45 37 1 18 1,70 60 16 37 22,114 110 25 28 103,,,43 37 3 20 0,69 60 7 31 20,114 110 14 24 103,
anot,102000,24 26 3 35 0,53 39 3 9 25,65 52 14 11 55,122 102 30 11 110,141 102 60 11 109,,51 39 3 9 23,65 52 5 14 55,117 102 9 11 111,141 102 49 13 113
anta,78425,17 17 7 0 0,19 29 7 67 0,48 40 23 34 14,55 52 47 28 34,,,19 23 5 31 0,39 40 18 31 3,64 46 12 23 29,
anti,98400,38 52 16 0 0,67 79 36 28 5,90 102 10 42 18,140 129 23 27 90,178 129 23 20 104,,67 79 32 30 5,90 102 18 59 26,117 102 12 38 38,167 129 16 31 100
antm,111550,20 23 7 21 0,32 41 18 29 0,51 47 16 15 22,72 76 29 28 67,,,31 29 9 29 0,51 47 14 15 22,70 65 18 26 56,
aoga,122962,20 27 5 20 0,34 47 30 40 0,52 54 43 37 11,66 54 34 37 33,,,35 33 20 40 0,52 47 41 36 11,66 54 32 37 32,
aois,94338,21 18 1 0 0,28 30 9 22 0,47 42 21 23 6,60 60 40 12 29,60 60 40 12 29,,27 24 1 23 0,45 36 23 21 4,59 48 9 11 28,0 6 0 5 0
aozo,111999,20 20 1 0 0,35 41 3 31 0,56 48 1 12 10,72 55 14 7 27,,,39 34 1 0 0,52 55 3 11 7,73 55 0 14 29,
aper,90167,12 11 0 0 0,21 22 3 8 0,34 26 3 10 9,47 41 5 2 42,,,,,,
aqir,125418,20 21 3 13 0,32 31 9 11 1,52 42 30 37 33,69 84 78 43 100,,,31 26 10 11 0,53 42 23 30 31,68 84 60 58 99,
aqua,96146,14 18 1 0 0,21 24 1 26 0,37 41 29 22 4,51 53 36 17 19,,,,,,
arca,115255,13 14 7 10 0,36 44 32 21 1,56 59 29 41 15,82 81 20 31 48,,,36 36 14 34 0,56 51 18 34 14,80 81 23 27 44,
aria,122666,13 19 7 18 0,36 38 14 53 15,70 82 34 32 100,122 120 58 27 128,,,36 44 14 53 15,69 89 32 30 100,119 120 47 28 131,
arms,101822,14 16 7 0 0,29 27 12 36 0,46 38 5 36 13,59 55 12 42 30,,,28 27 9 34 0,46 38 7 36 13,58 55 10 42 30,
arou,100872,15 17 3 7 0,28 28 7 14 0,38 34 9 11 1,50 46 12 20 11,,,18 17 0 0 0,43 34 7 51 7,50 46 12 16 12,
arra,98133,34 37 0 0 0,63 56 21 0 0,76 75 106 2 11,92 75 96 2 28,,,63 56 50 2 0,76 75 90 2 11,91 84 58 2 28,
arse,96800,26 25 3 16 0,40 50 34 24 6,58 50 30 34 21,87 75 34 25 100,,,40 50 30 24 6,58 50 29 33 21,83 75 23 26 86,
asai,110908,20 22 1 21 0,28 27 1 80 0,43 44 16 54 12,68 88 27 49 77,,,28 27 1 76 0,46 44 12 53 15,65 71 14 49 68,
asbo,116757,8 12 0 43 0,25 24 10 23 0,46 49 34 32 13,76 86 41 36 89,,,25 24 7 32 0,44 49 18 35 10,75 80 25 29 79,
ashf,104442,16 21 3 45 0,39 57 45 58 2,61 64 41 35 48,81 93 52 35 102,,,38 57 50 61 2,61 64 41 36 46,76 79 56 35 100,
asth,118649,18 16 0 12 0,29 28 9 67 0,37 39 23 120 7,52 50 20 79 40,,,28 33 9 64 0,37 39 23 121 7,51 50 20 85 34,
astr,106561,22 25 7 2 1,41 44 32 0 5,67 70 40 0 37,118 95 20 13 111,162 110 32 35 121,,40 44 10 0 4,64 57 29 0 31,101 95 12 13 111,179 101 20 38 124
athi,106500,16 20 5 0 0,32 26 3 12 0,45 40 5 18 5,59 60 41 39 17,,,33 33 5 11 0,45 46 9 18 5,64 60 32 11 23,
atoz,106350,14 24 10 0 0,32 32 5 34 0,53 56 14 71 17,67 72 81 49 38,,,33 40 20 51 0,49 56 32 53 11,61 80 69 41 28,
atus,90421,18 16 0 0 0,23 22 12 0 0,39 44 45 15 9,65 56 12 18 50,,,20 22 5 33 0,42 44 30 30 9,51 44 65 8 23,
aure,116129,16 25 5 15 0,39 38 7 16 3,58 58 21 44 27,78 77 25 51 90,,,39 38 5 14 3,61 58 12 40 28,80 71 5 40 91,
aven,100866,22 23 0 0 0,27 28 1 34 0,46 40 10 65 5,51 46 12 72 12,,,25 28 14 29 0,40 34 12 28 4,50 46 16 27 12,
avng,126000,20 36 1 39 0,47 55 16 24 2,84 109 49 1 43,134 128 36 17 103,157 128 56 23 110,,47 64 23 2 0,80 100 32 0 33,97 114 50 0 59,170 128 47 15 110
awak,109333,23 22 1 26 0,32 30 1 31 0,62 52 21 41 17,81 67 34 51 40,125 110 30 50 106,,35 37 5 29 0,61 52 21 36 16,80 67 21 46 36,123 110 9 47 106
awao,104167,27 20 3 0 0,45 40 32 86 6,64 54 30 18 39,91 81 5 10 102,,,45 40 32 86 6,64 54 45 10 40,89 81 5 10 102,
away,90231,12 22 3 0 0,23 33 5 17 0,38 55 29 30 18,53 55 36 45 27,,,,,,
awwi,88421,17 23 3 0 0,26 31 0 20 0,57 63 14 43 14,73 63 14 20 35,,,30 31 0 20 0,55 55 5 43 12,71 55 5 21 33,
ayak,122829,19 17 5 0 5,40 35 1 21 32,72 53 23 25 102,104 74 5 27 122,,,40 35 1 21 32,71 53 23 33 102,93 67 0 72 121,
ayma,118076,12 15 3 18 0,27 31 7 27 0,54 46 29 10 9,75 70 69 17 35,,,27 31 7 27 0,54 46 25 10 9,75 62 50 18 31,
ayum,105327,13 11 0 0 0,19 18 0 21 0,29 26 3 37 6,38 33 14 30 15,,,,,,
baaw,116870,10 14 7 0 0,22 33 27 64 1,40 38 45 42 12,63 71 65 13 85,,,22 24 18 73 0,40 47 45 42 13,64 62 58 8 82,
babx,94988,15 16 5 0 0,23 20 10 111 0,37 32 5 123 14,53 44 14 54 52,44 48 21 131 40,,23 20 10 112 0,37 32 5 124 14,44 48 21 132 40,
baby,92500,11 12 3 0 0,13 8 0 0 0,23 16 0 0 0,35 28 1 0 11,,,17 16 0 0 0,23 20 7 0 0,38 32 7 0 13,
bada,121741,17 17 0 48 0,30 28 9 45 0,47 46 25 62 19,65 57 34 52 47,,,30 28 7 45 0,45 46 27 60 18,65 57 30 52 46,
bada2,123039,,,,,77 69 81 105 0,,,,,
bada3,123477,,,,,,,,,,79 118 40 111 148
badg,76544,12 15 0 0 0,25 25 1 0 2,37 35 54 0 5,50 45 69 0 20,64 61 80 0 53,,30 30 10 0 2,39 40 54 0 6,45 40 43 0 14,65 56 56 0 50
badm,120615,22 32 1 17 0,60 65 25 26 18,69 97 54 27 30,94 115 85 32 103,131 115 56 31 110,,59 65 23 26 17,66 97 40 27 27,92 115 72 32 103,122 115 36 34 109
badt,93174,,15 20 0 0 0,34 35 1 0 3,47 46 3 0 13,,,18 20 3 0 0,37 30 5 0 4,47 41 12 0 11,
bagg,91390,9 8 1 0 0,32 27 21 0 15,45 37 54 0 68,83 51 0 0 118,83 51 0 0 120,,32 21 0 0 13,47 32 9 0 76,78 48 1 0 119,78 48 1 0 121
bail,97841,16 16 5 0 0,27 27 10 56 0,47 43 12 38 NaN,57 59 29 28 NaN,,,27 32 21 22 0,45 43 40 26 16,53 54 83 28 NaN,
bain,89536,27 27 1 0 0,26 34 7 36 0,43 40 27 70 2,61 61 10 67 32,,,29 40 18 63 1,47 47 47 31 7,57 47 29 22 22,
bais,86246,11 11 0 0 0,12 15 5 0 0,37 38 34 49 58,49 53 60 51 101,,,18 23 3 0 0,30 38 47 0 2,48 42 3 10 60,
bak8,90851,24 23 0 0 0,39 46 69 0 0,46 81 98 0 5,56 46 1 0 20,,,35 46 72 0 0,44 46 90 0 2,69 75 38 0 28,
baku,120000,25 25 0 4 0,46 41 9 19 0,65 66 9 20 16,86 66 41 18 39,,,41 41 9 18 0,60 58 20 21 10,75 66 36 17 28,
bala,74777,22 22 10 0 0,29 27 18 37 0,45 44 41 51 4,60 44 49 29 20,,,31 27 16 34 0,45 39 36 68 4,61 44 45 29 21,
bald,102544,10 11 0 0 0,20 21 0 35 13,29 32 0 86 48,41 32 0 65 94,,,14 11 0 38 0,31 32 0 29 50,47 35 1 49 100,
bamb,114226,16 17 0 0 0,46 60 16 11 0,71 69 41 22 19,111 102 29 30 96,135 119 61 44 105,,47 60 10 14 0,69 60 25 67 18,100 95 14 15 74,123 110 45 51 102
bang,111000,20 20 7 7 0,33 33 14 89 0,59 46 25 41 37,92 80 41 19 103,,,33 33 14 89 0,57 46 25 45 35,92 80 41 23 104,
basa,122081,14 22 5 21 0,38 39 12 21 6,61 83 27 32 52,105 105 23 26 112,185 128 36 28 139,,38 33 7 18 5,59 83 23 30 44,99 108 14 30 114,187 116 12 25 139
basb,97712,12 11 5 0 0,26 29 5 0 0,54 46 5 0 15,76 64 20 0 53,,,33 29 5 0 0,55 46 14 0 17,76 64 16 0 52,
bass,116306,23 22 5 14 0,35 37 25 37 0,54 59 43 10 14,78 74 32 21 47,,,35 37 16 25 0,55 59 27 12 14,80 74 23 23 47,
bast,122400,23 33 3 0 0,41 41 9 2 1,48 58 16 80 15,68 66 25 67 27,,,41 41 9 2 1,48 58 14 79 15,68 66 25 64 28,
batf,100002,14 22 0 0 0,25 22 3 0 0,39 38 9 0 5,55 44 9 0 28,44 38 29 0 5,,24 22 3 0 0,39 38 9 0 5,55 44 9 0 28,46 38 34 0 5
bath,110000,9 20 5 41 0,30 25 12 57 2,83 67 98 47 101,122 98 101 75 112,204 98 141 20 136,,28 25 16 48 2,82 56 104 25 106,130 82 101 56 124,251 119 163 16 172
batt,108721,15 14 1 0 0,29 28 5 93 2,40 37 14 78 20,55 60 30 55 47,43 42 16 126 22,,27 23 3 87 3,33 32 5 111 10,43 42 14 116 22,
bbay,109238,21 24 3 0 0,33 30 12 58 3,59 42 0 0 16,81 54 0 0 45,,,34 30 12 44 3,59 42 0 0 16,80 54 0 0 44,
bbbu,80009,24 19 3 0 0,36 31 7 33 1,55 44 25 56 9,70 57 20 4 45,,,36 38 7 16 0,54 51 30 14 8,70 51 23 4 44,
bbird,92760,13 19 1 0 0,23 25 1 14 0,43 44 12 26 9,54 50 9 53 23,,,,,,
bbme,96928,15 32 5 9 0,31 32 9 15 0,55 52 20 6 15,67 58 32 12 29,,,31 32 7 13 0,54 52 21 0 14,66 58 25 6 29,
bcant,87748,,30 28 7 0 0,46 33 1 0 4,72 44 5 0 32,,,42 44 10 0 0,47 44 5 0 6,71 44 7 0 30,
bdow,87157,11 15 7 0 0,22 23 14 0 0,58 63 49 26 10,95 63 20 11 44,,,22 23 9 0 0,57 55 21 20 11,86 63 21 14 36,
bdow0,84634,16 15 3 6 0,28 39 3 8 3,52 62 27 41 18,85 62 21 40 38,,,,,,
beah,125052,41 47 20 49 0,59 63 20 29 13,89 79 29 20 45,137 113 78 38 107,,,59 63 20 27 12,90 79 29 18 46,147 113 74 38 108,
beau,88800,15 16 0 0 0,21 16 0 1 0,30 25 18 2 1,51 41 49 2 103,,,18 16 0 1 0,27 25 18 2 1,54 41 32 2 105,
bedr,112095,19 22 3 0 0,45 53 23 13 0,51 53 18 27 10,69 60 45 42 26,96 110 56 64 100,,49 60 29 11 2,52 53 21 14 9,68 60 45 33 24,93 98 43 46 89
beea,135428,17 17 5 55 0,27 35 32 93 0,53 52 16 56 26,75 64 38 58 79,,,31 35 27 78 0,52 58 34 74 22,72 64 25 58 69,
been,95628,,29 24 0 0 5,30 32 29 0 4,34 32 18 0 8,,,31 24 0 0 4,34 32 14 0 8,,
begi,76906,,21 36 12 0 0,34 32 32 0 2,43 45 30 0 15,,,23 32 16 0 2,43 41 27 0 14,,
bein,90446,8 7 0 0 0,11 10 0 0 0,18 21 5 0 1,30 42 12 0 32,,,18 21 5 0 1,30 42 12 0 32,46 42 3 0 86,
beli,99932,20 22 1 0 0,25 22 12 35 0,42 39 29 25 5,55 45 34 33 19,,,31 28 7 34 0,47 39 21 19 7,54 45 21 31 16,
belo,75243,35 30 40 0 0,40 38 7 9 0,60 61 20 13 13,80 92 20 14 29,121 100 65 11 102,,34 38 16 11 0,62 61 29 11 14,77 61 23 25 26,142 104 45 11 103
belu,110909,4 5 0 0 0,16 22 3 49 0,31 33 7 61 4,57 55 16 72 41,,,17 22 3 39 0,34 33 5 53 4,59 49 5 70 34,
belv,110158,16 16 0 17 0,25 21 1 18 0,42 42 10 14 10,58 48 23 29 24,,,26 21 1 14 0,42 42 9 13 10,57 48 16 31 24,
bene,92307,16 21 0 0 0,25 27 0 62 0,37 38 14 49 12,54 59 63 90 39,,,25 32 23 0 0,37 32 10 33 8,52 54 20 110 24,
bene2,92314,17 16 0 0 0,33 27 1 32 0,46 43 5 72 11,54 48 0 30 30,,,33 27 0 32 0,45 37 1 83 11,54 48 0 27 28,
bere,105309,22 32 1 23 0,41 40 20 78 0,55 65 38 92 10,68 89 36 88 37,,,38 40 12 72 0,53 49 21 95 8,65 65 25 90 21,
betm,109630,24 27 10 9 0,47 47 14 18 5,65 54 14 15 35,92 81 34 21 100,122 94 43 24 109,,47 40 12 18 5,62 54 12 15 30,87 74 23 23 86,125 94 32 19 110
beto,81405,,25 23 7 0 0,47 46 27 0 10,57 52 29 0 32,,,25 23 9 0 0,47 40 23 0 10,59 52 21 0 31,
bewi,107586,9 9 0 8 0,25 19 0 49 0,36 33 0 75 7,62 48 0 77 71,,,22 19 0 38 0,35 33 0 72 6,61 48 0 66 64,
beyo,95661,12 11 1 0 0,26 28 3 29 0,39 34 1 49 7,48 46 20 44 23,,,27 28 1 20 0,39 34 9 45 7,48 46 14 48 23,
bfor,92852,22 38 12 0 0,40 38 5 0 0,51 45 0 0 8,70 64 18 0 29,,,41 32 7 0 0,48 45 20 0 8,64 58 16 0 23,
bfor3,78000,23 28 1 0 0,,,,62 70 16 54 24,,,,,57 70 10 42 21
bfos,88252,15 13 9 3 0,26 25 10 31 0,55 51 10 19 15,77 64 20 36 66,,,26 38 10 23 0,56 51 21 32 16,74 64 12 41 61,
bfos0,89805,14 19 0 14 0,26 19 0 39 0,52 38 12 13 6,74 58 9 34 57,,,,,,
bfov,92852,40 38 5 0 0,,,,79 101 85 0 82,,,,,79 101 65 0 83
bibi,114456,26 30 3 31 0,39 38 20 30 0,60 61 14 53 15,81 69 23 34 34,,,43 38 20 21 1,61 61 36 53 13,78 61 16 45 31,
bich,132363,23 27 5 12 0,36 34 9 21 0,49 55 18 25 17,84 82 3 36 101,100 108 107 18 108,,35 27 9 21 0,49 55 12 21 18,82 82 1 36 101,102 111 98 12 111
bigg,105600,15 20 0 9 0,24 26 1 18 0,38 36 5 40 14,50 41 21 22 24,,,25 31 1 18 0,37 36 27 9 15,46 36 20 18 22,
bigs,120642,15 15 5 15 0,38 31 5 34 0,66 62 18 35 23,104 104 34 80 96,131 112 140 66 102,,38 31 5 25 0,67 62 16 33 22,108 100 34 75 97,137 112 131 67 102
bigt,88439,15 16 0 0 0,31 27 1 0 0,48 38 16 0 11,65 44 18 0 28,,,,,,
biii,114585,29 28 3 40 3,55 42 3 51 17,87 70 5 34 53,155 106 20 28 111,178 106 32 33 115,,55 42 1 51 17,87 70 5 34 53,172 106 18 25 114,201 106 30 21 117
